time,true,pre
280.0,649.0000251531601,534.9230994582176
281.0,571.0000163912773,534.3206995725632
281.0,559.9999815225601,532.5163804888725
281.0,576.0000228881836,530.0880572199821
281.0,543.0000211596489,528.5023530721664
282.0,616.0000234246254,531.4411036372185
282.0,707.999978363514,522.7180590629578
282.0,698.0000168085098,520.4077364206314
283.0,757.9999918937683,526.8884090185165
283.0,759.0000137686729,526.7935044169426
283.0,745.0000161528587,521.5538959503174
284.0,726.9999824762344,517.6225306987762
284.0,580.0000075101852,515.4278939366341
284.0,587.0000063180923,519.8830091357231
284.0,585.0000140070915,521.9081550240517
285.0,573.0000087022781,522.388233423233
285.0,660.0000085830688,520.6008377075195
285.0,684.0000191926956,520.6509391069412
286.0,693.9999807476997,521.9438021183014
286.0,653.9999802112579,525.023700773716
286.0,665.9999855160713,529.3856602907181
287.0,717.9999913573265,531.7455185055733
287.0,653.0000097751617,529.0450839400291
287.0,623.0000222325325,529.1325299143791
287.0,630.9999914765358,533.1870396733284
288.0,681.9999754428864,533.2735597491264
288.0,707.0000079274178,533.1132249832153
288.0,766.9999830126762,533.8158791065216
289.0,877.0000230669975,531.0551582574844
289.0,752.0000149607658,527.4969815611839
289.0,622.0000003576279,529.3874092102051
290.0,665.9999855160713,528.0843098759651
290.0,733.0000108480453,525.7249146103859
290.0,651.9999879002571,529.2234737277031
290.0,601.0000039339066,526.5358988642693
291.0,667.9999778270721,524.8764314651489
291.0,707.999978363514,522.936005294323
291.0,714.999977171421,527.3922007083893
292.0,672.9999843239784,525.0853244662285
292.0,670.0000215768814,530.9212630391121
292.0,672.9999843239784,533.7560043334961
293.0,606.0000104308128,530.6889139413834
293.0,634.9999760985374,525.5475535988808
293.0,702.0000014305115,527.0278081893921
293.0,649.0000251531601,529.249810397625
294.0,623.9999926686287,531.5917679071426
294.0,674.000006198883,535.9559907317162
294.0,601.9999743700027,540.7212819457054
295.0,540.0000069737434,542.6635084748268
295.0,693.9999807476997,539.6161705851555
295.0,794.9999782443047,541.035470187664
296.0,776.9999960064888,546.8255253434181
296.0,820.0000107288361,547.7495206594467
296.0,714.999977171421,546.8595263957977
296.0,695.0000026226044,550.3668815493584
297.0,728.0000043511391,545.3678523898125
297.0,783.9999948143959,539.0922148823738
297.0,776.9999960064888,540.3092570900917
298.0,698.999987244606,537.1171189546585
298.0,710.0000221133232,537.1657286286354
298.0,670.9999920129776,537.6450868844986
299.0,625.9999849796295,538.5996882915497
299.0,628.999999165535,549.0104916095734
299.0,576.9999933242798,546.756134390831
299.0,606.0000104308128,544.6161770820618
300.0,662.0000008940697,544.4278081655502
300.0,684.9999896287918,537.3740558028221
300.0,677.0000203847885,534.6725924611092
301.0,750.000022649765,532.334544301033
301.0,740.9999800920486,533.3765916824341
301.0,679.0000126957893,533.3934121727943
302.0,644.99998909235,531.9760158061981
302.0,709.0000002384186,537.6877296566963
302.0,757.0000214576721,541.2634984254837
302.0,717.0000209212303,541.7651811242104
303.0,726.0000120401382,539.294883787632
303.0,703.9999937415123,537.8914273381233
303.0,688.0000038146973,535.0654306411743
304.0,660.999979019165,529.7460920214653
304.0,649.0000251531601,534.8739753961563
304.0,594.9999755620956,543.486838042736
305.0,583.0000216960907,541.3542364835739
305.0,667.000007390976,536.5392553806305
305.0,721.9999759793282,541.030223429203
305.0,594.0000051259995,544.4667987823486
306.0,693.0000103116035,538.7140882015228
306.0,775.000003695488,533.8129470944405
306.0,566.000009894371,529.4073674678802
307.0,684.0000191926956,527.5482660531998
307.0,698.999987244606,526.3868806362152
307.0,721.000005543232,526.6155775785446
308.0,663.0000227689743,531.9860463738441
308.0,724.9999901652336,531.3900249004364
308.0,757.0000214576721,527.3917377591133
308.0,705.9999860525131,531.2809231877327
309.0,712.9999848604202,532.8268136978149
309.0,776.0000255703926,528.9426692724228
309.0,677.0000203847885,535.1131658554077
310.0,696.000024497509,541.1311463713646
310.0,691.9999884366989,530.3630490899086
310.0,681.0000050067902,520.2536257505417
311.0,705.9999860525131,515.3438429236412
311.0,695.0000026226044,510.7390407919884
311.0,630.0000210404396,514.0535004138947
311.0,595.9999974370003,518.4694192409515
312.0,597.9999897480011,521.4695877432823
312.0,689.0000256896019,523.6282173395157
312.0,719.9999836683273,527.5129790306091
313.0,750.9999930858612,534.777630507946
313.0,776.0000255703926,536.4746996760368
313.0,778.0000178813934,540.8266286253929
314.0,790.999993622303,545.3187797665596
314.0,705.9999860525131,546.0914421081543
314.0,634.9999760985374,550.8234524130821
314.0,616.9999938607216,548.506854236126
315.0,733.0000108480453,543.9820394515991
315.0,787.0000090003014,541.6088071465492
315.0,780.9999806284904,541.0585662126541
316.0,738.9999877810478,534.1895820498466
316.0,658.000016272068,530.739478290081
316.0,740.0000096559525,531.7777706384659
317.0,755.9999995827675,533.3837931156158
317.0,714.999977171421,526.3795763254166
317.0,729.9999966621399,521.6944267749786
317.0,757.0000214576721,522.7322047352791
318.0,712.9999848604202,522.0019279718399
318.0,696.9999949336052,523.5354217290878
318.0,721.000005543232,524.6596168875694
319.0,778.9999883174896,526.9890747666359
319.0,780.0000101923943,528.973944067955
319.0,743.9999942779541,533.1386357545853
320.0,674.000006198883,534.0267267823219
320.0,649.9999955892563,529.4563886523247
